gene	drug	regulatory approval	indication	interaction score
PAH	ATENOLOL	Approved	Anti-Arrhythmia Agents; Antihypertensive Agents	0.483368505174866
ABCB1	DIHYDRO-12-HYDROXY-2,2-DIMETHYL-2H,6H-PYRANO[3,2-B]XANTHEN-6-ONE	Not Approved	""	0.222143823654832
ABCB1	NEVIRAPINE	Approved	""	0.02019489305953019
ABCB1	ERYTHROMYCIN	Approved	""	0.00965842711542748
ABCB1	LEVETIRACETAM	Approved	anticonvulsant	0.03173483195069029
ABCB1	CIMETIDINE	Approved	antihistamines,GI Anti-Ulcer Agents	0.01586741597534514
ABCB1	ROCURONIUM	Approved	muscle relaxant	0.06346966390138059
ABCB1	IBUPROFEN, SODIUM SALT	Approved	NSAID	0.01708798643498708
ABCB1	PROPRANOLOL HYDROCHLORIDE	Approved	for treatment of cancer cachexia	0.02776797795685401
ABCB1	CAMPTOTHECIN	Approved	antineoplastic agent	0.01269393278027611
ABCB1	DISULFIRAM	Approved	Alcohol Deterrents	0.005166135433833304
ABCB1	VOACAMINE	Not Approved	""	0.4442876473096641
ABCB1	CHEMBL:CHEMBL595816	Not Approved	""	0.4442876473096641
ABCB1	FLUPHENAZINE HYDROCHLORIDE	Approved	Antipsychotic Agents	0.01009744652976509
ABCB1	BIRICODAR	Not Approved	""	0.166607867741124
ABCB1	CHEMBL:CHEMBL408422	Not Approved	""	0.4442876473096641
ABCB1	NABIXIMOLS	Not Approved	""	0.08885752946193282
