node_id;label;type;degree
@CHEMICAL_Blood_Glucose;@CHEMICAL_Blood_Glucose;chemical;178.0
@CHEMICAL_Methylnitronitrosoguanidine;@CHEMICAL_Methylnitronitrosoguanidine;chemical;178.0
@CHEMICAL_Rotenone;@CHEMICAL_Rotenone;chemical;178.0
@CHEMICAL_Nicotine;@CHEMICAL_Nicotine;chemical;177.0
@CHEMICAL_Amino_Acids_Aromatic;@CHEMICAL_Amino_Acids_Aromatic;chemical;176.0
@CHEMICAL_Phosphatidylcholines;@CHEMICAL_Phosphatidylcholines;chemical;176.0
@CHEMICAL_Succinic_Acid;@CHEMICAL_Succinic_Acid;chemical;176.0
@CHEMICAL_Vanilmandelic_Acid;@CHEMICAL_Vanilmandelic_Acid;chemical;175.0
@CHEMICAL_Vancomycin;@CHEMICAL_Vancomycin;chemical;173.0
@CHEMICAL_Beryllium;@CHEMICAL_Beryllium;chemical;172.0
@CHEMICAL_Tacrolimus;@CHEMICAL_Tacrolimus;chemical;172.0
@CHEMICAL_Azathioprine;@CHEMICAL_Azathioprine;chemical;171.0
@CHEMICAL_Inositol;@CHEMICAL_Inositol;chemical;171.0
@CHEMICAL_Norethindrone;@CHEMICAL_Norethindrone;chemical;171.0
@CHEMICAL_Oxaliplatin;@CHEMICAL_Oxaliplatin;chemical;171.0
@CHEMICAL_Nobelium;@CHEMICAL_Nobelium;chemical;170.0
@CHEMICAL_Reserpine;@CHEMICAL_Reserpine;chemical;170.0
@CHEMICAL_isoprene;@CHEMICAL_isoprene;chemical;170.0
@CHEMICAL_Chlorambucil;@CHEMICAL_Chlorambucil;chemical;169.0
@CHEMICAL_Lithium;@CHEMICAL_Lithium;chemical;169.0
@CHEMICAL_Vinyl_Chloride;@CHEMICAL_Vinyl_Chloride;chemical;169.0
@CHEMICAL_Paraquat;@CHEMICAL_Paraquat;chemical;168.0
@CHEMICAL_Volatile_Organic_Compounds;@CHEMICAL_Volatile_Organic_Compounds;chemical;168.0
@CHEMICAL_Chloroform;@CHEMICAL_Chloroform;chemical;167.0
@CHEMICAL_Citrulline;@CHEMICAL_Citrulline;chemical;167.0
@CHEMICAL_Dinoprostone;@CHEMICAL_Dinoprostone;chemical;167.0
@CHEMICAL_Hexachlorocyclohexane;@CHEMICAL_Hexachlorocyclohexane;chemical;167.0
@CHEMICAL_Niacinamide;@CHEMICAL_Niacinamide;chemical;167.0
@CHEMICAL_Propylthiouracil;@CHEMICAL_Propylthiouracil;chemical;167.0
@CHEMICAL_lenvatinib;@CHEMICAL_lenvatinib;chemical;167.0
@CHEMICAL_myricetin;@CHEMICAL_myricetin;chemical;167.0
@CHEMICAL_Amino_Acids_Branched_Chain;@CHEMICAL_Amino_Acids_Branched_Chain;chemical;166.0
@CHEMICAL_Nitrites;@CHEMICAL_Nitrites;chemical;166.0
@CHEMICAL_cinnamic_acid;@CHEMICAL_cinnamic_acid;chemical;166.0
@CHEMICAL_Colchicine;@CHEMICAL_Colchicine;chemical;165.0
@CHEMICAL_Emodin;@CHEMICAL_Emodin;chemical;165.0
@CHEMICAL_Cannabidiol;@CHEMICAL_Cannabidiol;chemical;164.0
@CHEMICAL_Corticosterone;@CHEMICAL_Corticosterone;chemical;164.0
@CHEMICAL_Ethylene_Oxide;@CHEMICAL_Ethylene_Oxide;chemical;164.0
@CHEMICAL_ethylbenzene;@CHEMICAL_ethylbenzene;chemical;164.0
@CHEMICAL_Nivolumab;@CHEMICAL_Nivolumab;chemical;163.0
@CHEMICAL_indeno(1_2_3_cd)pyrene;@CHEMICAL_indeno(1_2_3_cd)pyrene;chemical;163.0
@CHEMICAL_Aldehydes;@CHEMICAL_Aldehydes;chemical;162.0
@CHEMICAL_Iron_Dextran_Complex;@CHEMICAL_Iron_Dextran_Complex;chemical;162.0
@CHEMICAL_Morphine;@CHEMICAL_Morphine;chemical;162.0
@CHEMICAL_ethyl_acetate;@CHEMICAL_ethyl_acetate;chemical;162.0
@CHEMICAL_3_Hydroxybutyric_Acid;@CHEMICAL_3_Hydroxybutyric_Acid;chemical;161.0
@CHEMICAL_Mechlorethamine;@CHEMICAL_Mechlorethamine;chemical;161.0
@CHEMICAL_Adalimumab;@CHEMICAL_Adalimumab;chemical;160.0
@CHEMICAL_Cholecalciferol;@CHEMICAL_Cholecalciferol;chemical;160.0
@CHEMICAL_Melphalan;@CHEMICAL_Melphalan;chemical;160.0
@CHEMICAL_jasmonic_acid;@CHEMICAL_jasmonic_acid;chemical;160.0
@CHEMICAL_Aflatoxin_B1;@CHEMICAL_Aflatoxin_B1;chemical;159.0
